"sentID","Completion","popularity","percent"
1,"de koffie",28,52.3364485981308
2,"een boek",20,37.3831775700935
3,"de chocolade",21,39.2523364485981
4,"de fiets",48,89.7196261682243
5,"de schat",50,93.4579439252336
6,"het zwembad",52,97.196261682243
7,"de thee",48,89.7196261682243
8,"de oven",50,93.4579439252336
9,"de cadeautjes",25,46.7289719626168
10,"het team",29,54.2056074766355
11,"de post",43,80.3738317757009
12,"de auto",41,76.6355140186916
13,"de dokter",39,72.8971962616822
15,"het gangpad",25,46.7289719626168
16,"de krant",47,87.8504672897196
17,"de stoel",52,97.196261682243
18,"de stad",26,48.5981308411215
19,"het raam",33,61.6822429906542
20,"de afwas",49,91.588785046729
21,"de weg",39,72.8971962616822
22,"het bord",49,91.588785046729
23,"het antwoord",40,74.7663551401869
24,"het strand",37,69.1588785046729
25,"het bos",45,84.1121495327103
26,"het kampvuur",33,61.6822429906542
27,"het schoolplein",21,39.2523364485981
28,"het ontbijt",47,87.8504672897196
29,"de kast",28,52.3364485981308
30,"de sneeuw",52,97.196261682243
31,"de brievenbus",35,65.4205607476635
32,"het licht",47,87.8504672897196
33,"het journaal",26,48.5981308411215
34,"de wekker",51,95.3271028037383
35,"het internet",25,46.7289719626168
36,"de supermarkt",38,71.0280373831776
37,"het lichaam",21,39.2523364485981
38,"het publiek",44,82.2429906542056
39,"de bioscoop",42,78.5046728971963
40,"de tuin",48,89.7196261682243
41,"de badmeester",33,61.6822429906542
42,"de politie",48,89.7196261682243
43,"de taart",47,87.8504672897196
44,"de kluis",45,84.1121495327103
45,"het stopcontact",44,82.2429906542056
46,"de gordijnen",40,74.7663551401869
47,"de bibliotheek",41,76.6355140186916
48,"de trommel",22,41.1214953271028
49,"de muizen",36,67.2897196261682
50,"het sprookje",36,67.2897196261682
51,"het vliegtuig",41,76.6355140186916
52,"het schilderij",29,54.2056074766355
53,"het bruidspaar",29,54.2056074766355
54,"de apotheek",43,80.3738317757009
55,"het bereik",21,39.2523364485981
56,"de pasta",18,33.6448598130841
57,"de kapstok",48,89.7196261682243
58,"de muur",47,87.8504672897196
59,"het internet",46,85.981308411215
60,"de ober",20,37.3831775700935
61,"het glas",19,35.5140186915888
62,"het woordenboek",45,84.1121495327103
63,"het verkeer",45,84.1121495327103
64,"de vergadering",40,74.7663551401869
65,"het spel",22,41.1214953271028
66,"het casino",39,72.8971962616822
67,"de bel",45,84.1121495327103
68,"het caf_",30,56.0747663551402
69,"het geluid",36,67.2897196261682
70,"de sportschool",34,63.5514018691589
71,"de wieg",21,39.2523364485981
72,"de telescoop",23,42.9906542056075
73,"het scherm",35,65.4205607476635
74,"de spiegel",49,91.588785046729
75,"het jaar",53,99.0654205607477
76,"de menukaart",22,41.1214953271028
77,"het aanrecht",48,89.7196261682243
78,"de duisternis",16,29.9065420560748
79,"de wolf",42,78.5046728971963
80,"de lucht",51,95.3271028037383
81,"het huis",22,41.1214953271028
82,"de auto",30,56.0747663551402
83,"het krijt",40,74.7663551401869
84,"de hoek",43,80.3738317757009
85,"de kameel",49,91.588785046729
86,"de stroom",36,67.2897196261682
87,"het hart",49,91.588785046729
88,"de sloot",51,95.3271028037383
89,"het net",50,93.4579439252336
90,"de airco",40,74.7663551401869
91,"een aansteker",33,61.6822429906542
92,"de maand",52,97.196261682243
93,"het hotel",50,93.4579439252336
94,"de mouw",53,99.0654205607477
95,"de balk",44,82.2429906542056
96,"de rekening",24,44.8598130841121
97,"de pet",45,84.1121495327103
98,"de kerk",44,82.2429906542056
99,"de natuur",26,48.5981308411215
100,"de wind",43,80.3738317757009
101,"het lijf",50,93.4579439252336
102,"het eten",51,95.3271028037383
103,"de draak",39,72.8971962616822
104,"de berg",46,85.981308411215
105,"de tralies",38,71.0280373831776
106,"de tuinman",49,91.588785046729
107,"de naald",52,97.196261682243
108,"de pan",55,102.803738317757
109,"het balkon",44,82.2429906542056
110,"het lint",30,56.0747663551402
111,"het contract",48,89.7196261682243
112,"het wapen",15,28.0373831775701
113,"de trein",32,59.8130841121495
114,"de bioscoop",34,63.5514018691589
115,"het terras",36,67.2897196261682
116,"de meterkast",46,85.981308411215
117,"de kantine",43,80.3738317757009
118,"het tentamen",42,78.5046728971963
119,"een concert",26,48.5981308411215
120,"de samenvatting",41,76.6355140186916
121,"de zon",45,84.1121495327103
122,"de pot",47,87.8504672897196
123,"de dierentuin",43,80.3738317757009
124,"het restaurant",54,100.934579439252
125,"de boom",55,102.803738317757
126,"de champagne",41,76.6355140186916
127,"de jungle",28,52.3364485981308
128,"de brief",22,41.1214953271028
129,"het bestek",57,106.542056074766
130,"het stadion",50,93.4579439252336
131,"de conducteur",42,78.5046728971963
132,"de wereld",50,93.4579439252336
133,"de wachtkamer",45,84.1121495327103
134,"de kinderwagen",30,56.0747663551402
135,"de gouden koets",22,41.1214953271028
136,"het station",53,99.0654205607477
137,"het zeil",52,97.196261682243
138,"de postbode",29,54.2056074766355
139,"een gedicht",28,52.3364485981308
140,"het museum",50,93.4579439252336
141,"het slot",33,61.6822429906542
142,"het vak",46,85.981308411215
